query,d_score,best_so_far
1,2.579983822341669,2.579983822341669
2,2.767988878065728,2.579983822341669
3,2.534157971686023,2.534157971686023
4,2.7248327615412493,2.534157971686023
5,2.915253067246043,2.534157971686023
6,2.727445320016817,2.534157971686023
7,2.6257182712575875,2.534157971686023
8,2.0786020434376864,2.0786020434376864
9,2.6173420317010274,2.0786020434376864
10,2.6019582380265343,2.0786020434376864
11,1.5168279761901355,1.5168279761901355
12,2.1153711867949467,1.5168279761901355
13,2.6695331572813505,1.5168279761901355
14,2.798725814554762,1.5168279761901355
15,3.906238083513715,1.5168279761901355
16,3.505128760788821,1.5168279761901355
17,2.534427056287675,1.5168279761901355
18,3.7704892567335415,1.5168279761901355
19,3.697346103474773,1.5168279761901355
20,3.0677650644078587,1.5168279761901355
21,3.43908000524389,1.5168279761901355
22,3.5171904171987616,1.5168279761901355
23,3.0210017450096363,1.5168279761901355
24,3.367563718984319,1.5168279761901355
25,3.5489262099295362,1.5168279761901355
26,2.867335382353834,1.5168279761901355
27,3.4959608113951415,1.5168279761901355
28,3.894862771967655,1.5168279761901355
29,3.139814393550893,1.5168279761901355
30,3.333103595284625,1.5168279761901355
31,3.810716529671297,1.5168279761901355
32,2.900619231996103,1.5168279761901355
33,3.5754719885351847,1.5168279761901355
34,3.9547649338646518,1.5168279761901355
35,3.095458045464612,1.5168279761901355
36,3.212626550911186,1.5168279761901355
37,3.748942934909999,1.5168279761901355
38,3.4968799824039816,1.5168279761901355
39,3.6397580188750474,1.5168279761901355
40,3.5020889589547255,1.5168279761901355
41,2.929037010120868,1.5168279761901355
42,3.0172540530602396,1.5168279761901355
43,3.702848671715287,1.5168279761901355
44,2.6731836192674914,1.5168279761901355
45,3.312480596816002,1.5168279761901355
46,3.462112092582377,1.5168279761901355
47,3.320432588698768,1.5168279761901355
48,3.164789480181522,1.5168279761901355
49,4.111539288237898,1.5168279761901355
50,2.93849210792161,1.5168279761901355
51,3.4209809787664365,1.5168279761901355
52,3.2839490533372695,1.5168279761901355
53,2.7191343663236243,1.5168279761901355
54,2.837717781497759,1.5168279761901355
55,3.2816067433099936,1.5168279761901355
56,2.3158766919687035,1.5168279761901355
57,2.727539038028128,1.5168279761901355
58,2.716111819879499,1.5168279761901355
59,2.068443704689357,1.5168279761901355
60,3.3492038888894786,1.5168279761901355
61,3.257721359592026,1.5168279761901355
62,2.326517478405957,1.5168279761901355
63,2.97801385711949,1.5168279761901355
64,3.7093362169547905,1.5168279761901355
65,2.7960974627543096,1.5168279761901355
66,3.3287976325774684,1.5168279761901355
67,3.4219482513820556,1.5168279761901355
68,2.9861617496863624,1.5168279761901355
69,3.4135762776709604,1.5168279761901355
70,3.5171575689918746,1.5168279761901355
71,3.5014742466553352,1.5168279761901355
72,3.3461207281767846,1.5168279761901355
73,3.5723076044665634,1.5168279761901355
74,3.465546750359382,1.5168279761901355
75,3.3319888251493484,1.5168279761901355
76,3.2422743739777395,1.5168279761901355
77,3.0486065620496876,1.5168279761901355
78,3.22473379895193,1.5168279761901355
79,3.3722989107169243,1.5168279761901355
80,3.5745128659394845,1.5168279761901355
81,3.3856128353743027,1.5168279761901355
82,3.581253297097654,1.5168279761901355
83,3.4987549025802682,1.5168279761901355
84,3.480709720234675,1.5168279761901355
85,3.384873540051934,1.5168279761901355
86,3.8433412080058296,1.5168279761901355
87,3.5845308252754884,1.5168279761901355
88,3.245130063394837,1.5168279761901355
89,3.6292227365136647,1.5168279761901355
90,3.6346714848296062,1.5168279761901355
91,3.5027548450320705,1.5168279761901355
92,3.8055906404162965,1.5168279761901355
93,3.6858459472066376,1.5168279761901355
94,3.2691773026591306,1.5168279761901355
95,3.589852135786528,1.5168279761901355
96,3.7796707588771974,1.5168279761901355
97,3.5923220433816403,1.5168279761901355
98,3.5552120688514264,1.5168279761901355
99,3.424040296424291,1.5168279761901355
100,3.295087161153884,1.5168279761901355
101,3.5247426458691695,1.5168279761901355
102,3.3438651062798286,1.5168279761901355
103,3.3950374415889986,1.5168279761901355
104,4.100407356379131,1.5168279761901355
105,3.6864042482838753,1.5168279761901355
106,2.7539025583429324,1.5168279761901355
107,3.7463718617162933,1.5168279761901355
108,3.2758992538230527,1.5168279761901355
109,3.215077343152877,1.5168279761901355
110,3.7804281647108695,1.5168279761901355
111,3.306314947692382,1.5168279761901355
112,3.3484356265791884,1.5168279761901355
113,3.0000408297988246,1.5168279761901355
114,2.909365326641977,1.5168279761901355
115,2.94783671232555,1.5168279761901355
116,3.376929247034232,1.5168279761901355
117,3.413255524141617,1.5168279761901355
118,3.2495042247518926,1.5168279761901355
119,3.9818311907891535,1.5168279761901355
120,3.1241643465603053,1.5168279761901355
121,2.954509759355376,1.5168279761901355
122,3.744417018273177,1.5168279761901355
123,3.711881531168562,1.5168279761901355
124,3.1562013751112916,1.5168279761901355
125,3.7004632582905033,1.5168279761901355
126,3.508338816310226,1.5168279761901355
127,3.117407446926737,1.5168279761901355
128,3.2491312892117565,1.5168279761901355
129,3.062226061209524,1.5168279761901355
130,2.8987121847494617,1.5168279761901355
131,3.504227691822722,1.5168279761901355
132,1.0491907584420919,1.0491907584420919
133,2.586091043987459,1.0491907584420919
134,2.790782147277786,1.0491907584420919
135,3.2163449379529494,1.0491907584420919
136,3.133323726545258,1.0491907584420919
137,3.432376973060198,1.0491907584420919
138,1.5612718686841824,1.0491907584420919
139,2.6595804831874097,1.0491907584420919
140,3.0423863204573265,1.0491907584420919
141,3.670310004995621,1.0491907584420919
142,2.5156373470836924,1.0491907584420919
143,3.2028358729270545,1.0491907584420919
144,2.933952319741406,1.0491907584420919
145,2.682421311272646,1.0491907584420919
146,3.6864551890197346,1.0491907584420919
147,3.003132664775686,1.0491907584420919
148,2.601769062256112,1.0491907584420919
149,2.5877132373847758,1.0491907584420919
150,2.0542274592130885,1.0491907584420919
151,2.4096316347125786,1.0491907584420919
152,3.2401609638502604,1.0491907584420919
153,3.340743191634431,1.0491907584420919
154,2.854702335698411,1.0491907584420919
