model,dataset,patch_size,rep,timing_D
squeezenet,imagenetmini,20,0,6.85308067207157
squeezenet,imagenetmini,20,1,5.872747375212509
squeezenet,imagenetmini,20,2,5.352031429384658
squeezenet,imagenetmini,20,3,6.232382094577615
squeezenet,imagenetmini,20,4,7.0722727117688535
squeezenet,imagenetmini,50,0,5.817604475046492
squeezenet,imagenetmini,50,1,8.889105946499262
squeezenet,imagenetmini,50,2,6.862458476575252
squeezenet,imagenetmini,50,3,8.298717207938017
squeezenet,imagenetmini,50,4,5.402412752688023
squeezenet,imagenetmini,80,0,7.556078260701563
squeezenet,imagenetmini,80,1,7.072013606026273
squeezenet,imagenetmini,80,2,7.676248067177698
squeezenet,imagenetmini,80,3,5.670245568011546
squeezenet,imagenetmini,80,4,6.7191210071925624
squeezenet,imagenetmini,112,0,5.319894892954559
squeezenet,imagenetmini,112,1,9.405735889632917
squeezenet,imagenetmini,112,2,4.630647821569234
squeezenet,imagenetmini,112,3,6.204597966319125
squeezenet,imagenetmini,112,4,7.315328307819781
squeezenet,synthetic,20,0,3.2552301202706126
squeezenet,synthetic,20,1,2.3740955601734695
squeezenet,synthetic,20,2,3.8288020704948473
squeezenet,synthetic,20,3,2.957318143800355
squeezenet,synthetic,20,4,3.9367044168703877
squeezenet,synthetic,50,0,3.984122655794121
squeezenet,synthetic,50,1,3.6273966849324513
squeezenet,synthetic,50,2,2.4751337193327814
squeezenet,synthetic,50,3,4.18880564775346
squeezenet,synthetic,50,4,3.8304252151283578
squeezenet,synthetic,80,0,3.207946184495034
squeezenet,synthetic,80,1,3.571183298224968
squeezenet,synthetic,80,2,5.789756337790583
squeezenet,synthetic,80,3,3.819033433222551
squeezenet,synthetic,80,4,3.5926397491523825
squeezenet,synthetic,112,0,3.4984470172641124
squeezenet,synthetic,112,1,4.610492323641036
squeezenet,synthetic,112,2,3.052407504141377
squeezenet,synthetic,112,3,3.8925242060059406
squeezenet,synthetic,112,4,4.614977885814822
resnet18,cifar10,20,0,4.247359028497354
resnet18,cifar10,20,1,3.587389826096842
resnet18,cifar10,20,2,3.780054167846586
resnet18,cifar10,20,3,4.253185740315047
resnet18,cifar10,20,4,3.0272631989728365
resnet18,cifar10,50,0,4.421954408490847
resnet18,cifar10,50,1,2.1106036595321
resnet18,cifar10,50,2,3.5540089643164747
resnet18,cifar10,50,3,3.1066419850928626
resnet18,cifar10,50,4,3.621016929471599
resnet18,cifar10,80,0,2.650125777801384
resnet18,cifar10,80,1,3.6903155417220255
resnet18,cifar10,80,2,3.1109324422186915
resnet18,cifar10,80,3,3.607564795752843
resnet18,cifar10,80,4,2.486630226473948
resnet18,cifar10,112,0,3.8310706784339814
resnet18,cifar10,112,1,3.1613135445854876
resnet18,cifar10,112,2,2.677693600916165
resnet18,cifar10,112,3,2.3528176970127546
resnet18,cifar10,112,4,6.18580067252227
resnet18,tinyimagenet,20,0,6.672345908070256
resnet18,tinyimagenet,20,1,11.556137989756152
resnet18,tinyimagenet,20,2,6.185515159507195
resnet18,tinyimagenet,20,3,6.67824166882802
resnet18,tinyimagenet,20,4,7.192998274257386
resnet18,tinyimagenet,50,0,11.564422129469389
resnet18,tinyimagenet,50,1,4.778366664460077
resnet18,tinyimagenet,50,2,8.52191418054531
resnet18,tinyimagenet,50,3,6.1234648508298966
resnet18,tinyimagenet,50,4,6.735176070082737
resnet18,tinyimagenet,80,0,7.245109192439206
resnet18,tinyimagenet,80,1,8.225731389052703
resnet18,tinyimagenet,80,2,6.597233993930132
resnet18,tinyimagenet,80,3,7.692907126036534
resnet18,tinyimagenet,80,4,5.562263226677013
resnet18,tinyimagenet,112,0,7.287150045836269
resnet18,tinyimagenet,112,1,6.677674794207372
resnet18,tinyimagenet,112,2,8.542199668957362
resnet18,tinyimagenet,112,3,6.562901091164862
resnet18,tinyimagenet,112,4,9.569584440122636
resnet18,imagenetmini,20,0,4.499169225511025
resnet18,imagenetmini,20,1,5.02620545084905
resnet18,imagenetmini,20,2,3.366081676359038
resnet18,imagenetmini,20,3,6.865035696653948
resnet18,imagenetmini,20,4,5.090704335539754
resnet18,imagenetmini,50,0,6.181930197198402
resnet18,imagenetmini,50,1,4.488062860505037
resnet18,imagenetmini,50,2,5.002547614961493
resnet18,imagenetmini,50,3,4.329439874220126
resnet18,imagenetmini,50,4,7.871545616715266
resnet18,imagenetmini,80,0,3.599686603895106
resnet18,imagenetmini,80,1,5.696286837332148
resnet18,imagenetmini,80,2,4.278184943112667
resnet18,imagenetmini,80,3,6.761818563615023
resnet18,imagenetmini,80,4,2.972975790738452
resnet18,imagenetmini,112,0,5.6048620065632875
resnet18,imagenetmini,112,1,4.927929606361786
resnet18,imagenetmini,112,2,4.409457319537446
resnet18,imagenetmini,112,3,4.092853639545421
resnet18,imagenetmini,112,4,4.63241361528405
resnet18,synthetic,20,0,13.644225531227699
resnet18,synthetic,20,1,14.775055707087814
resnet18,synthetic,20,2,17.64834606332044
resnet18,synthetic,20,3,15.243748005232515
resnet18,synthetic,20,4,10.819279853664005
resnet18,synthetic,50,0,11.228445328890901
resnet18,synthetic,50,1,11.199082334898831
resnet18,synthetic,50,2,13.758609852299871
resnet18,synthetic,50,3,11.147761679102773
resnet18,synthetic,50,4,13.175740084667554
resnet18,synthetic,80,0,11.099171641613802
resnet18,synthetic,80,1,13.61384627615826
resnet18,synthetic,80,2,11.285310689248314
resnet18,synthetic,80,3,12.058005910231326
resnet18,synthetic,80,4,12.133549143639472
resnet18,synthetic,112,0,13.69361646370737
resnet18,synthetic,112,1,10.164965017808003
resnet18,synthetic,112,2,12.551139655205702
resnet18,synthetic,112,3,9.89884339305089
resnet18,synthetic,112,4,13.4075220862982
efficientnet,cifar10,20,0,4.988637909494459
efficientnet,cifar10,20,1,5.043627669048966
efficientnet,cifar10,20,2,6.11090921789477
efficientnet,cifar10,20,3,5.862374037660843
efficientnet,cifar10,20,4,4.561228381118563
efficientnet,cifar10,50,0,3.939835251239032
efficientnet,cifar10,50,1,5.660776224869974
efficientnet,cifar10,50,2,3.910459591978859
efficientnet,cifar10,50,3,3.1453633757311072
efficientnet,cifar10,50,4,1.9545058815456797
efficientnet,cifar10,80,0,2.3028199471679374
efficientnet,cifar10,80,1,3.5625071894890197
efficientnet,cifar10,80,2,4.914752552557214
efficientnet,cifar10,80,3,6.639948715493056
efficientnet,cifar10,80,4,7.246393833218193
efficientnet,cifar10,112,0,5.696943563711475
efficientnet,cifar10,112,1,6.600232790097159
efficientnet,cifar10,112,2,5.057616472027422
efficientnet,cifar10,112,3,4.571664041340359
efficientnet,cifar10,112,4,4.828774528835025
efficientnet,tinyimagenet,20,0,6.869051188510151
efficientnet,tinyimagenet,20,1,7.265613300188773
efficientnet,tinyimagenet,20,2,6.881083722680535
efficientnet,tinyimagenet,20,3,6.945445264954546
efficientnet,tinyimagenet,20,4,5.482975778612643
efficientnet,tinyimagenet,50,0,6.36188738718224
efficientnet,tinyimagenet,50,1,6.041977411659603
efficientnet,tinyimagenet,50,2,5.287069264815832
efficientnet,tinyimagenet,50,3,7.642054676686154
efficientnet,tinyimagenet,50,4,6.451498560567076
efficientnet,tinyimagenet,80,0,5.335267158423713
efficientnet,tinyimagenet,80,1,5.275842853443871
efficientnet,tinyimagenet,80,2,5.432180680730689
efficientnet,tinyimagenet,80,3,6.053564595678674
efficientnet,tinyimagenet,80,4,4.609644235639795
efficientnet,tinyimagenet,112,0,5.8124493336764385
efficientnet,tinyimagenet,112,1,4.322839249579408
efficientnet,tinyimagenet,112,2,4.5073193739131066
efficientnet,tinyimagenet,112,3,4.803901416508311
efficientnet,tinyimagenet,112,4,3.309521354354216
efficientnet,imagenetmini,20,0,4.009413155544444
efficientnet,imagenetmini,20,1,4.438876232943273
efficientnet,imagenetmini,20,2,4.864360854944425
efficientnet,imagenetmini,20,3,3.9486070709366925
efficientnet,imagenetmini,20,4,5.797674572886946
efficientnet,imagenetmini,50,0,4.336540383805559
efficientnet,imagenetmini,50,1,3.0864583410069093
efficientnet,imagenetmini,50,2,3.62219858896627
efficientnet,imagenetmini,50,3,4.909851952271404
efficientnet,imagenetmini,50,4,5.48677949433922
efficientnet,imagenetmini,80,0,4.48618359137383
efficientnet,imagenetmini,80,1,5.013453192856943
efficientnet,imagenetmini,80,2,4.971015866938686
efficientnet,imagenetmini,80,3,5.041957373387519
efficientnet,imagenetmini,80,4,4.493824926044913
efficientnet,imagenetmini,112,0,2.7300911858597963
efficientnet,imagenetmini,112,1,2.5186861673675645
efficientnet,imagenetmini,112,2,4.654811119363849
efficientnet,imagenetmini,112,3,5.362818527668312
efficientnet,imagenetmini,112,4,4.1235727790990255
efficientnet,synthetic,20,0,2.2506114017301018
efficientnet,synthetic,20,1,0.44479825555588604
efficientnet,synthetic,20,2,2.991415046139723
efficientnet,synthetic,20,3,2.9427494666817853
efficientnet,synthetic,20,4,2.859918047088361
efficientnet,synthetic,50,0,2.4318833359673535
efficientnet,synthetic,50,1,4.905407225931491
efficientnet,synthetic,50,2,3.401740856660064
efficientnet,synthetic,50,3,2.077078335805917
efficientnet,synthetic,50,4,0.33004245577390023
efficientnet,synthetic,80,0,0.8656432999867836
efficientnet,synthetic,80,1,2.177164131072663
efficientnet,synthetic,80,2,2.4723201545646507
efficientnet,synthetic,80,3,2.6650520128140296
efficientnet,synthetic,80,4,2.335048481313436
efficientnet,synthetic,112,0,2.1574922538309735
efficientnet,synthetic,112,1,0.2572686629460668
efficientnet,synthetic,112,2,1.1275504236738787
efficientnet,synthetic,112,3,1.9988436080612653
efficientnet,synthetic,112,4,2.5910047674348045
