query,d_score,best_so_far
1,0.3883446495927652,0.3883446495927652
2,0.5867424216281281,0.3883446495927652
3,0.14807112429353547,0.14807112429353547
4,0.8766915855389371,0.14807112429353547
5,1.1501594416779457,0.14807112429353547
6,0.28211711380613774,0.14807112429353547
7,1.250448454683945,0.14807112429353547
8,0.23272512792560943,0.14807112429353547
9,0.572098053610029,0.14807112429353547
10,2.0694190011050404,0.14807112429353547
11,0.4907127596711056,0.14807112429353547
12,1.025271208974605,0.14807112429353547
13,0.736828017390735,0.14807112429353547
14,0.2535953126725784,0.14807112429353547
15,0.3568884838784443,0.14807112429353547
16,2.3234949256816737,0.14807112429353547
17,1.4155743379223298,0.14807112429353547
18,1.6376902237435145,0.14807112429353547
19,3.849262967133475,0.14807112429353547
20,0.17821859267060686,0.14807112429353547
21,0.4888336293368763,0.14807112429353547
22,0.5734218279315947,0.14807112429353547
23,1.2522707438669958,0.14807112429353547
24,1.0975794129048726,0.14807112429353547
25,1.3697191558225865,0.14807112429353547
26,0.9781431679215543,0.14807112429353547
27,1.335526859159603,0.14807112429353547
28,0.23351177192132627,0.14807112429353547
29,1.7281802619807956,0.14807112429353547
30,0.9411143115783549,0.14807112429353547
31,0.7874620016986108,0.14807112429353547
32,0.8822486339555331,0.14807112429353547
33,0.774610950798387,0.14807112429353547
34,0.8026538662215453,0.14807112429353547
35,0.756641297785889,0.14807112429353547
36,0.2907254236512999,0.14807112429353547
37,0.7280240922393687,0.14807112429353547
38,0.4913318948257113,0.14807112429353547
39,0.8105325632933921,0.14807112429353547
40,0.3266107733664554,0.14807112429353547
41,1.3513056388179587,0.14807112429353547
42,0.9917275732756602,0.14807112429353547
43,0.9265381719120186,0.14807112429353547
44,0.8238331374453304,0.14807112429353547
45,1.4512338976260017,0.14807112429353547
46,1.3167802930070986,0.14807112429353547
47,0.798513401358418,0.14807112429353547
48,0.08417105099443765,0.08417105099443765
49,0.6634304030569734,0.08417105099443765
50,0.6861485927369357,0.08417105099443765
51,0.08817263869267962,0.08417105099443765
52,0.5363904885136056,0.08417105099443765
53,0.4298695420001447,0.08417105099443765
54,0.35313753775985385,0.08417105099443765
55,0.2793707393745881,0.08417105099443765
56,0.9519575151128433,0.08417105099443765
57,0.6899017479429848,0.08417105099443765
58,0.9487437355869193,0.08417105099443765
59,0.8305384735617932,0.08417105099443765
60,0.7847621721014121,0.08417105099443765
61,0.7386089404402388,0.08417105099443765
62,0.06889133610921877,0.06889133610921877
63,0.01778823852911305,0.01778823852911305
64,0.5341443959737072,0.01778823852911305
65,0.07743523149709303,0.01778823852911305
66,0.6535525789438752,0.01778823852911305
67,0.29033965510096765,0.01778823852911305
68,0.5341444091441249,0.01778823852911305
69,0.3428093306739045,0.01778823852911305
70,0.7762994028948855,0.01778823852911305
71,0.4990393831136894,0.01778823852911305
72,0.45744056000605776,0.01778823852911305
73,0.38804926724707206,0.01778823852911305
74,1.3886662445545894,0.01778823852911305
75,4.253704520175746,0.01778823852911305
76,1.1685333829971447,0.01778823852911305
77,0.31207687849544397,0.01778823852911305
78,0.6322411958357421,0.01778823852911305
79,0.7625289183194036,0.01778823852911305
80,0.5133183676783374,0.01778823852911305
81,0.10401682233641911,0.01778823852911305
82,0.29679895709519255,0.01778823852911305
83,0.43082139680697323,0.01778823852911305
84,0.47084019679166,0.01778823852911305
85,0.08904575677624928,0.01778823852911305
