ratio,shape_delta,mean_D,predicted_D,R2,slope,intercept,p_value
0.1,256,7.048,7.059,1.0,0.026161,0.362,0.0009
0.2,512,13.773,13.756,1.0,0.026161,0.362,0.0009
0.5,1024,27.145,27.151,1.0,0.026161,0.362,0.0009
