model,dataset,epsilon,rep,timing_D
squeezenet,tinyimagenet,0.3,1,0.7729714641518575
squeezenet,tinyimagenet,0.3,2,2.1626984666662277
squeezenet,tinyimagenet,0.3,3,0.20869033577258236
squeezenet,tinyimagenet,0.3,4,1.5123880811705106
squeezenet,tinyimagenet,0.5,0,0.20887265717589468
squeezenet,tinyimagenet,0.5,1,2.2118408056605445
squeezenet,tinyimagenet,0.5,2,0.01753905604019554
squeezenet,tinyimagenet,0.5,3,1.1571011132450257
squeezenet,tinyimagenet,0.5,4,1.4941428173451985
squeezenet,imagenetmini,0.03,0,1.6057730616308734
squeezenet,imagenetmini,0.03,1,3.5154444960627638
squeezenet,imagenetmini,0.03,2,1.0614078998917231
squeezenet,imagenetmini,0.03,3,1.8041912837212823
squeezenet,imagenetmini,0.03,4,0.2642879159849566
squeezenet,imagenetmini,0.1,0,0.9241086189223717
squeezenet,imagenetmini,0.1,1,3.5156123961286343
squeezenet,imagenetmini,0.1,2,1.9730893170310504
squeezenet,imagenetmini,0.1,3,0.10975984165576709
squeezenet,imagenetmini,0.1,4,2.672838934143032
squeezenet,imagenetmini,0.3,0,2.358070583132102
squeezenet,imagenetmini,0.3,1,1.0948909979908483
squeezenet,imagenetmini,0.3,2,3.9156629802692318
squeezenet,imagenetmini,0.3,3,4.960016683585989
squeezenet,imagenetmini,0.3,4,4.372137677733415
squeezenet,imagenetmini,0.5,0,4.407950838010091
squeezenet,imagenetmini,0.5,1,8.454165229740937
squeezenet,imagenetmini,0.5,2,4.8702235584057245
squeezenet,imagenetmini,0.5,3,7.473702190749527
squeezenet,imagenetmini,0.5,4,6.916446776027923
squeezenet,synthetic,0.03,0,7.09689937457316
squeezenet,synthetic,0.03,1,5.911758292305708
squeezenet,synthetic,0.03,2,7.1095273562691155
squeezenet,synthetic,0.03,3,3.1651576847693783
squeezenet,synthetic,0.03,4,7.123335119498877
squeezenet,synthetic,0.1,0,6.750072865102392
squeezenet,synthetic,0.1,1,6.525474148608384
squeezenet,synthetic,0.1,2,5.3746205481974565
squeezenet,synthetic,0.1,3,5.259980007975154
squeezenet,synthetic,0.1,4,5.324037447315545
squeezenet,synthetic,0.3,0,4.184776605016356
squeezenet,synthetic,0.3,1,3.010316762824393
squeezenet,synthetic,0.3,2,5.827199466632466
squeezenet,synthetic,0.3,3,3.641077134703151
squeezenet,synthetic,0.3,4,3.53893664542341
squeezenet,synthetic,0.5,0,3.910908008359044
squeezenet,synthetic,0.5,1,4.968280468486966
squeezenet,synthetic,0.5,2,2.9626149121855083
squeezenet,synthetic,0.5,3,3.384560106471052
squeezenet,synthetic,0.5,4,4.527973052006264
resnet18,cifar10,0.03,0,4.046333892864665
resnet18,cifar10,0.03,1,4.733307117025356
resnet18,cifar10,0.03,2,4.174317418735402
resnet18,cifar10,0.03,3,3.3692932221201235
resnet18,cifar10,0.03,4,3.5716545278787883
resnet18,cifar10,0.1,0,4.908332515932228
resnet18,cifar10,0.1,1,4.253811728763649
resnet18,cifar10,0.1,2,3.521798689936459
resnet18,cifar10,0.1,3,3.658453581935228
resnet18,cifar10,0.1,4,3.3784298706277416
resnet18,cifar10,0.3,0,4.330076413882178
resnet18,cifar10,0.3,1,3.870683293772046
resnet18,cifar10,0.3,2,3.1568236780118135
resnet18,cifar10,0.3,3,3.2899890939969296
resnet18,cifar10,0.3,4,3.8254851863448325
resnet18,cifar10,0.5,0,3.502092087443327
resnet18,cifar10,0.5,1,2.917117649575263
resnet18,cifar10,0.5,2,3.535419930998067
resnet18,cifar10,0.5,3,2.590141826245278
resnet18,cifar10,0.5,4,3.035414318182557
resnet18,tinyimagenet,0.03,0,8.13076730786382
resnet18,tinyimagenet,0.03,1,10.769190678399013
resnet18,tinyimagenet,0.03,2,7.224441840142056
resnet18,tinyimagenet,0.03,3,8.976795486685678
resnet18,tinyimagenet,0.03,4,6.929654687121484
resnet18,tinyimagenet,0.1,0,8.05854810532973
resnet18,tinyimagenet,0.1,1,7.905890096847859
resnet18,tinyimagenet,0.1,2,9.685865793753075
resnet18,tinyimagenet,0.1,3,8.045235565119386
resnet18,tinyimagenet,0.1,4,11.250984821321648
resnet18,tinyimagenet,0.3,0,8.891665820324121
resnet18,tinyimagenet,0.3,1,10.370792454923203
resnet18,tinyimagenet,0.3,2,8.060344257434348
resnet18,tinyimagenet,0.3,3,9.504961582022581
resnet18,tinyimagenet,0.3,4,7.6279379465601815
resnet18,tinyimagenet,0.5,0,8.96951538398033
resnet18,tinyimagenet,0.5,1,6.410831903104424
resnet18,tinyimagenet,0.5,2,6.793468246904501
resnet18,tinyimagenet,0.5,3,4.622593218335072
resnet18,tinyimagenet,0.5,4,7.4529860416025375
resnet18,imagenetmini,0.03,0,3.9827293647578785
resnet18,imagenetmini,0.03,1,5.719023489353373
resnet18,imagenetmini,0.03,2,5.773420099604721
resnet18,imagenetmini,0.03,3,7.826370971459976
resnet18,imagenetmini,0.03,4,6.029153362301353
resnet18,imagenetmini,0.1,0,5.979446761580448
resnet18,imagenetmini,0.1,1,6.700751257243892
resnet18,imagenetmini,0.1,2,7.04923003542789
resnet18,imagenetmini,0.1,3,5.196637231743104
resnet18,imagenetmini,0.1,4,6.784262839940273
resnet18,imagenetmini,0.3,0,5.801054046463356
resnet18,imagenetmini,0.3,1,6.19752748950597
resnet18,imagenetmini,0.3,2,5.799409521364902
resnet18,imagenetmini,0.3,3,5.602867998892844
resnet18,imagenetmini,0.3,4,3.6401318190785923
resnet18,imagenetmini,0.5,0,5.4310834063061595
resnet18,imagenetmini,0.5,1,4.885661532008025
resnet18,imagenetmini,0.5,2,5.985599166023914
resnet18,imagenetmini,0.5,3,5.400262683052824
resnet18,imagenetmini,0.5,4,5.8127365335941725
resnet18,synthetic,0.03,0,9.882967293561382
resnet18,synthetic,0.03,1,11.929602874939107
resnet18,synthetic,0.03,2,8.305402594389763
resnet18,synthetic,0.03,3,11.49233064958342
resnet18,synthetic,0.03,4,9.917431618158746
resnet18,synthetic,0.1,0,11.888451364110841
resnet18,synthetic,0.1,1,11.370877501464095
resnet18,synthetic,0.1,2,13.320612294584016
resnet18,synthetic,0.1,3,12.295002308706122
resnet18,synthetic,0.1,4,13.182499874877907
resnet18,synthetic,0.3,0,12.610238502151983
resnet18,synthetic,0.3,1,13.47728154533226
resnet18,synthetic,0.3,2,14.148466309953468
resnet18,synthetic,0.3,3,13.723058722550917
resnet18,synthetic,0.3,4,9.208176068296401
resnet18,synthetic,0.5,0,12.593751688159244
resnet18,synthetic,0.5,1,17.979449757920516
resnet18,synthetic,0.5,2,15.185477558666332
resnet18,synthetic,0.5,3,9.694354650937662
resnet18,synthetic,0.5,4,13.990714010146545
efficientnet,cifar10,0.03,0,5.267487428101869
efficientnet,cifar10,0.03,1,6.381004947240742
efficientnet,cifar10,0.03,2,5.632179963301704
efficientnet,cifar10,0.03,3,6.6746128787054895
efficientnet,cifar10,0.03,4,5.776928726406787
efficientnet,cifar10,0.1,0,5.483406782013224
efficientnet,cifar10,0.1,1,5.898389748312148
efficientnet,cifar10,0.1,2,5.279527335789692
efficientnet,cifar10,0.1,3,5.7972839485857515
efficientnet,cifar10,0.1,4,5.347882678801134
efficientnet,cifar10,0.3,0,5.838233441780223
