"Attack","Mahalanobis D","Detected?"
"FGSM ε=0.03","3,496.170 ± 689.731","✅ Yes"
"FGSM ε=0.1","3,508.530 ± 869.959","✅ Yes"
"FGSM ε=0.3","5,537.541 ± 919.338","✅ Yes"
"FGSM ε=0.5","7,778.315 ± 1,020.868","✅ Yes"
"Backdoor 20px/2.5","998.571 ± 421.904","✅ Yes"
"Backdoor 50px/5.0","11,689.225 ± 1,348.525","✅ Yes"
"Backdoor 80px/8.0","38,559.843 ± 779.207","✅ Yes"
"Backdoor 112px/10.0","53,030.395 ± 1,114.668","✅ Yes"
